Accident_ID,Date,Hour,Time_of_Day,Weather,Road_Condition,Severity,Vehicle_Type,Speed_Limit,Latitude,Longitude,Casualties
A00037,2023-11-11,7,Morning,Snow,Dry,Moderate,Truck,80,40.721051,-74.048796,0
A00038,2023-03-22,2,Night,Rain,Dry,Minor,Bus,30,41.857373,-87.62579,0
A00039,2024-06-29,4,Night,Snow,Dry,Minor,Bus,80,40.790819,-73.999572,0
A00040,2023-06-19,8,Morning,Rain,Dry,Minor,Bus,40,41.997552,-87.537629,3
A00041,2024-07-06,23,Night,Clear,Wet,Minor,Truck,100,41.838474,-87.635537,0
A00042,2023-11-16,12,Afternoon,Storm,Icy,Severe,Bike,60,41.818085,-87.646525,0
A00043,2024-06-13,14,Afternoon,Clear,Dry,Moderate,Truck,40,40.649756,-73.960107,3
A00044,2023-03-07,10,Morning,Clear,Dry,Minor,Truck,80,40.70093,-73.9124,0
A00045,2023-08-14,0,Night,Rain,Dry,Minor,Car,40,40.613052,-74.07101,2
A00046,2023-03-11,1,Night,Clear,Wet,Moderate,Car,80,34.072449,-118.198213,0
A00047,2023-09-01,8,Morning,Clear,Wet,Minor,Bus,40,41.910458,-87.623495,1
A00048,2024-07-06,4,Night,Rain,Dry,Moderate,Bus,40,41.870511,-87.600384,2
A00049,2024-04-29,13,Afternoon,Clear,Dry,Minor,Car,30,40.72685,-74.037135,0
A00050,2024-11-05,13,Afternoon,Clear,Icy,Minor,Bus,60,34.022732,-118.20122,0
A00051,2024-04-23,23,Night,Rain,Wet,Severe,Car,30,40.753443,-73.974519,0
A00052,2024-02-17,23,Night,Clear,Wet,Severe,Car,40,34.051155,-118.237834,1
A00053,2023-07-16,6,Morning,Clear,Under Construction,Severe,Bus,40,41.955743,-87.651776,1
A00054,2024-03-08,5,Morning,Storm,Dry,Severe,Bus,40,34.086298,-118.259213,1
A00055,2023-03-19,14,Afternoon,Storm,Dry,Moderate,Car,30,41.973716,-87.576539,1
A00056,2024-10-29,17,Evening,Clear,Wet,Moderate,Car,40,40.744006,-73.974583,0
A00057,2023-06-20,13,Afternoon,Rain,Dry,Moderate,Bus,40,34.100956,-118.251053,1
A00058,2024-02-15,1,Night,Clear,Wet,Moderate,Bus,30,40.691135,-73.995809,2
A00059,2024-02-04,8,Morning,Clear,Under Construction,Minor,Bike,60,34.109918,-118.267569,3
A00060,2024-12-14,23,Night,Clear,Wet,Moderate,Bus,40,41.920983,-87.637797,0
A00061,2023-07-14,9,Morning,Rain,Dry,Moderate,Car,80,40.728936,-74.047362,3
A00062,2024-07-09,1,Night,Clear,Icy,Moderate,Bike,30,41.881583,-87.580625,1
A00063,2023-02-21,18,Evening,Rain,Under Construction,Moderate,Truck,30,34.124757,-118.195736,1
A00064,2024-06-04,2,Night,Rain,Under Construction,Minor,Car,80,40.707253,-73.957185,1
A00065,2023-03-11,21,Night,Clear,Dry,Minor,Bus,30,40.674843,-73.99848,4
A00066,2024-08-06,7,Morning,Snow,Wet,Moderate,Car,80,41.812088,-87.538227,2
A00067,2023-03-25,13,Afternoon,Clear,Dry,Severe,Bike,50,41.792443,-87.562106,4
A00068,2023-07-29,21,Night,Clear,Dry,Severe,Bike,40,41.878362,-87.627451,3
A00069,2023-09-29,12,Afternoon,Rain,Dry,Fatal,Bike,60,40.64437,-73.979225,2
A00070,2023-11-20,2,Night,Clear,Wet,Moderate,Bus,80,40.718543,-73.928437,2
A00071,2024-07-30,3,Night,Snow,Dry,Minor,Truck,80,40.787252,-73.962109,0
A00072,2023-09-29,4,Night,Clear,Dry,Minor,Car,40,33.965656,-118.171483,2
A00073,2024-01-14,9,Morning,Rain,Wet,Minor,Bus,80,40.761877,-73.989465,1
A00074,2024-12-21,9,Morning,Storm,Dry,Moderate,Car,100,41.897303,-87.631435,1
A00075,2024-07-21,9,Morning,Rain,Dry,Minor,Car,40,41.823037,-87.605416,2
A00076,2023-09-28,3,Night,Rain,Dry,Minor,Truck,50,40.672025,-74.033951,0
A00077,2023-10-16,19,Evening,Clear,Dry,Minor,Bike,40,40.715674,-74.12014,1
A00078,2024-12-04,20,Evening,Fog,Wet,Minor,Bus,50,34.046584,-118.254748,2
A00079,2023-02-22,2,Night,Clear,Dry,Moderate,Bus,50,41.80234,-87.561456,2
A00080,2023-02-15,0,Night,Clear,Wet,Severe,Truck,100,34.206144,-118.187721,0
A00081,2023-09-26,5,Morning,Clear,Dry,Minor,Bus,80,41.840282,-87.700913,0
A00082,2024-12-23,13,Afternoon,Clear,Dry,Minor,Car,30,41.962457,-87.585718,2
A00083,2023-03-19,22,Night,Rain,Wet,Moderate,Car,50,40.660938,-74.015517,0
A00084,2024-08-19,17,Evening,Clear,Wet,Moderate,Bus,40,40.642872,-73.977852,0
A00085,2023-02-12,9,Morning,Clear,Dry,Minor,Car,50,34.02258,-118.2869,0
A00086,2023-08-04,21,Night,Snow,Dry,Severe,Car,50,40.726323,-74.008512,0
A00087,2024-07-27,13,Afternoon,Clear,Under Construction,Severe,Truck,40,41.849261,-87.59203,0
A00088,2023-06-16,5,Morning,Rain,Under Construction,Moderate,Car,40,33.96873,-118.216532,1
A00089,2023-12-07,13,Afternoon,Clear,Dry,Moderate,Truck,50,41.855169,-87.645136,1
A00090,2023-06-13,22,Night,Rain,Dry,Moderate,Bus,30,40.680208,-74.00363,1
A00091,2024-04-26,7,Morning,Clear,Under Construction,Minor,Bus,50,40.682702,-73.967987,3
A00092,2023-11-09,7,Morning,Clear,Dry,Severe,Car,100,40.731357,-74.036199,1
A00093,2023-07-17,12,Afternoon,Clear,Wet,Moderate,Bike,30,34.046207,-118.238014,1
A00094,2023-10-13,11,Morning,Clear,Dry,Severe,Bus,100,41.892589,-87.52603,2
A00095,2024-07-03,10,Morning,Snow,Dry,Moderate,Car,50,40.61926,-74.023576,2
A00096,2023-07-02,18,Evening,Snow,Dry,Severe,Car,30,34.063981,-118.205157,0
A00097,2024-09-02,13,Afternoon,Storm,Wet,Moderate,Bike,60,34.069125,-118.264464,2
A00098,2024-09-12,16,Afternoon,Fog,Dry,Minor,Bus,80,40.754317,-74.048804,0
A00099,2023-07-14,8,Morning,Rain,Wet,Severe,Bus,30,40.764677,-74.031501,0
A00100,2024-06-16,17,Evening,Snow,Dry,Moderate,Truck,50,41.855885,-87.610935,0
A00101,2024-03-17,2,Night,Fog,Wet,Moderate,Bike,80,41.898772,-87.53596,0
A00102,2023-11-18,21,Night,Clear,Dry,Severe,Bike,80,40.623864,-73.931198,2
A00103,2023-11-13,21,Night,Rain,Dry,Moderate,Bike,60,34.05767,-118.207412,3
A00104,2024-12-14,9,Morning,Rain,Wet,Minor,Truck,40,41.887294,-87.624795,2
A00105,2024-03-06,21,Night,Storm,Icy,Minor,Truck,80,34.179135,-118.217502,1
A00106,2024-08-05,9,Morning,Clear,Icy,Minor,Car,50,34.001595,-118.326443,2
A00107,2023-10-21,6,Morning,Clear,Wet,Moderate,Bike,60,34.03922,-118.318857,0
A00108,2024-03-28,14,Afternoon,Clear,Dry,Minor,Truck,80,41.866553,-87.59499,2
A00109,2024-04-29,23,Night,Rain,Dry,Fatal,Car,50,40.699356,-74.061326,0
A00110,2024-06-11,21,Night,Storm,Dry,Severe,Bike,30,41.878796,-87.631006,0
A00111,2023-08-29,21,Night,Snow,Dry,Moderate,Truck,40,34.050562,-118.270871,1
A00112,2023-05-31,0,Night,Fog,Dry,Moderate,Truck,60,40.608881,-74.068032,1
A00113,2024-09-17,2,Night,Clear,Icy,Fatal,Bus,100,33.981824,-118.282591,1
A00114,2024-08-12,6,Morning,Clear,Dry,Moderate,Bus,60,41.873639,-87.628301,0
A00115,2024-02-14,7,Morning,Clear,Wet,Minor,Car,30,40.717737,-74.012517,0
A00116,2024-03-11,7,Morning,Rain,Dry,Minor,Bus,30,40.753493,-74.053021,2
A00117,2024-07-24,7,Morning,Rain,Dry,Minor,Bus,40,40.629311,-73.917766,2
A00118,2024-04-20,21,Night,Clear,Dry,Moderate,Bike,60,41.915918,-87.700451,1
A00119,2024-09-19,23,Night,Clear,Dry,Severe,Bus,80,41.850854,-87.609843,4
A00120,2024-04-01,5,Morning,Clear,Dry,Moderate,Bus,60,41.810691,-87.592637,0
A00121,2023-09-23,7,Morning,Snow,Under Construction,Severe,Bike,80,41.851112,-87.668715,0
A00122,2024-05-11,20,Evening,Storm,Dry,Severe,Bike,60,40.733213,-74.091129,2
A00123,2023-03-21,22,Night,Clear,Dry,Severe,Truck,50,34.065001,-118.194565,2
A00124,2023-12-10,10,Morning,Storm,Dry,Moderate,Car,40,41.846859,-87.628495,0
A00125,2023-06-04,7,Morning,Fog,Dry,Moderate,Truck,100,34.021624,-118.314033,0
A00126,2023-08-08,2,Night,Clear,Wet,Minor,Bus,50,34.00473,-118.112081,3
A00127,2024-07-09,14,Afternoon,Clear,Dry,Moderate,Car,40,34.051933,-118.276638,1
A00128,2024-03-06,12,Afternoon,Fog,Dry,Minor,Car,80,41.876351,-87.54126,1
A00129,2024-01-25,15,Afternoon,Clear,Icy,Severe,Bike,50,40.658411,-73.959526,1
A00130,2024-02-04,13,Afternoon,Clear,Under Construction,Minor,Truck,60,41.874378,-87.598766,0
A00131,2023-08-13,8,Morning,Rain,Icy,Severe,Bus,30,34.08019,-118.189661,2
A00132,2024-02-03,10,Morning,Rain,Dry,Fatal,Bus,100,41.899581,-87.619416,0
A00133,2023-06-19,14,Afternoon,Rain,Under Construction,Minor,Car,60,40.658747,-73.953342,5
A00134,2024-08-29,18,Evening,Clear,Icy,Minor,Car,30,41.807842,-87.604748,0
A00135,2024-10-20,13,Afternoon,Clear,Wet,Minor,Bus,40,40.699749,-73.999251,1
A00136,2023-02-21,8,Morning,Fog,Dry,Moderate,Bike,40,34.065553,-118.199218,0
A00137,2024-04-10,10,Morning,Clear,Icy,Minor,Bus,50,34.056314,-118.190426,3
A00138,2024-03-07,8,Morning,Fog,Dry,Moderate,Bus,30,40.758791,-73.990307,3
A00139,2024-07-06,1,Night,Fog,Dry,Minor,Truck,100,33.984977,-118.289633,0
A00140,2023-03-12,20,Evening,Clear,Dry,Minor,Car,40,40.711066,-73.994289,1
A00141,2023-07-24,0,Night,Clear,Under Construction,Moderate,Truck,40,41.869814,-87.671079,3
A00142,2023-05-10,15,Afternoon,Clear,Under Construction,Minor,Car,80,41.886423,-87.605177,2
A00143,2023-08-12,14,Afternoon,Clear,Dry,Minor,Bike,50,41.846231,-87.570349,0
A00144,2023-06-21,19,Evening,Storm,Icy,Fatal,Car,40,41.949125,-87.658337,1
A00145,2023-11-15,3,Night,Snow,Dry,Moderate,Car,50,41.995969,-87.582908,1
A00146,2024-08-12,21,Night,Snow,Dry,Minor,Bus,100,34.066493,-118.226977,2
A00147,2023-07-23,2,Night,Clear,Dry,Minor,Truck,30,41.876444,-87.540072,0
A00148,2024-12-14,9,Morning,Clear,Wet,Minor,Car,80,41.877279,-87.57038,1
A00149,2023-02-12,11,Morning,Snow,Dry,Severe,Bus,100,41.79613,-87.606673,5
A00150,2024-01-15,2,Night,Snow,Wet,Severe,Bike,30,41.947208,-87.597365,0
A00151,2024-03-06,15,Afternoon,Snow,Icy,Minor,Bus,50,40.704444,-73.998664,1
A00152,2024-10-12,14,Afternoon,Clear,Icy,Severe,Truck,60,41.866814,-87.629629,0
A00153,2023-06-30,23,Night,Rain,Under Construction,Moderate,Bike,80,41.915765,-87.697312,2
A00154,2024-07-05,15,Afternoon,Fog,Dry,Fatal,Bus,100,34.112649,-118.315775,1
A00155,2024-08-29,8,Morning,Storm,Wet,Minor,Truck,30,34.105882,-118.295026,0
A00156,2023-10-13,14,Afternoon,Rain,Dry,Moderate,Bus,80,40.684854,-73.987139,1
A00157,2024-09-16,21,Night,Clear,Dry,Moderate,Bike,30,34.088806,-118.189697,1
A00158,2024-05-21,10,Morning,Storm,Dry,Moderate,Bus,40,40.734801,-74.031103,1
A00159,2023-12-30,8,Morning,Clear,Wet,Moderate,Bike,80,34.041079,-118.301048,2
A00160,2024-12-19,8,Morning,Clear,Dry,Fatal,Car,80,41.922994,-87.640128,0
A00161,2023-07-15,2,Night,Clear,Dry,Moderate,Bus,60,40.760325,-74.023149,2
A00162,2024-07-22,7,Morning,Snow,Wet,Severe,Bus,100,41.901096,-87.599424,1
A00163,2024-12-29,15,Afternoon,Clear,Under Construction,Moderate,Car,30,34.047713,-118.171694,0
A00164,2023-10-29,7,Morning,Clear,Wet,Minor,Truck,50,34.050192,-118.315239,0
A00165,2024-11-10,18,Evening,Rain,Dry,Moderate,Bus,80,34.029891,-118.338177,0
A00166,2024-06-27,11,Morning,Clear,Dry,Moderate,Bike,50,33.973005,-118.205679,3
A00167,2024-12-20,14,Afternoon,Rain,Dry,Minor,Bike,50,34.172301,-118.24483,2
A00168,2023-08-25,3,Night,Clear,Dry,Minor,Truck,50,41.864641,-87.634107,0
A00169,2023-05-03,23,Night,Clear,Dry,Moderate,Truck,40,41.927544,-87.598635,0
A00170,2023-08-10,23,Night,Clear,Dry,Moderate,Bike,100,34.142799,-118.225804,3
A00171,2024-08-26,16,Afternoon,Snow,Dry,Fatal,Bike,30,41.94397,-87.61992,1
A00172,2023-07-18,9,Morning,Rain,Wet,Minor,Bike,40,40.661221,-74.032465,2
A00173,2023-11-06,0,Night,Rain,Wet,Minor,Truck,50,41.821709,-87.601586,1
A00174,2023-02-16,1,Night,Clear,Dry,Moderate,Bike,100,41.898061,-87.59744,2
A00175,2023-05-10,20,Evening,Clear,Under Construction,Minor,Car,30,34.063423,-118.191345,2
A00176,2024-08-10,9,Morning,Snow,Under Construction,Moderate,Bus,60,34.084816,-118.32252,1
A00177,2023-12-15,5,Morning,Rain,Wet,Moderate,Bike,60,40.732881,-74.040281,1
A00178,2023-04-27,2,Night,Clear,Under Construction,Minor,Bus,30,34.050922,-118.185064,0
A00179,2024-08-13,20,Evening,Snow,Dry,Severe,Car,40,41.935538,-87.716786,0
A00180,2023-06-02,18,Evening,Clear,Under Construction,Minor,Car,40,33.987466,-118.185659,1
A00181,2023-05-02,17,Evening,Storm,Dry,Moderate,Truck,80,33.947442,-118.230991,2
A00182,2024-01-25,14,Afternoon,Rain,Wet,Minor,Bike,80,34.094554,-118.182575,3
A00183,2024-03-15,9,Morning,Snow,Dry,Minor,Car,80,41.87452,-87.631661,2
A00184,2023-04-12,6,Morning,Clear,Dry,Severe,Truck,50,41.882032,-87.72971,0
A00185,2024-11-07,2,Night,Clear,Under Construction,Fatal,Truck,40,40.758616,-73.988676,1
A00186,2024-07-19,2,Night,Rain,Wet,Minor,Car,60,40.665877,-73.973787,2
A00187,2024-04-06,22,Night,Rain,Dry,Severe,Bus,50,41.905461,-87.675658,3
A00188,2023-02-03,7,Morning,Rain,Icy,Severe,Bike,100,34.107476,-118.184348,0
A00189,2024-04-09,2,Night,Rain,Dry,Moderate,Truck,50,41.893232,-87.667514,1
A00190,2024-10-02,18,Evening,Storm,Dry,Fatal,Truck,60,41.89513,-87.558041,2
A00191,2023-04-28,17,Evening,Clear,Wet,Severe,Truck,50,40.748873,-73.97423,2
A00192,2023-05-26,2,Night,Rain,Dry,Minor,Truck,50,40.648899,-74.088187,1
A00193,2024-09-01,23,Night,Clear,Dry,Minor,Bike,60,41.960201,-87.579309,1
A00194,2023-05-08,14,Afternoon,Clear,Icy,Severe,Bike,100,41.855388,-87.630797,1
A00195,2024-02-17,8,Morning,Clear,Wet,Moderate,Bus,60,41.947314,-87.601605,3
A00196,2023-03-24,19,Evening,Clear,Dry,Moderate,Bus,100,40.700166,-73.986396,1
A00197,2023-11-27,19,Evening,Storm,Dry,Minor,Car,30,33.967552,-118.248617,0
A00198,2023-08-23,21,Night,Clear,Icy,Severe,Car,100,41.924016,-87.708325,1
A00199,2023-10-03,18,Evening,Clear,Dry,Minor,Truck,60,40.66434,-73.978448,2
A00200,2024-06-15,20,Evening,Rain,Dry,Fatal,Bike,40,34.122071,-118.247457,1
A00201,2024-08-22,13,Afternoon,Rain,Under Construction,Moderate,Bus,30,41.880543,-87.62777,0
A00202,2024-04-26,11,Morning,Clear,Wet,Minor,Bike,50,33.990007,-118.278345,1
A00203,2024-11-17,3,Night,Snow,Dry,Severe,Bike,60,40.724774,-74.045101,1
A00204,2024-12-11,15,Afternoon,Clear,Wet,Severe,Bus,80,34.042936,-118.250191,0
A00205,2023-02-07,14,Afternoon,Rain,Wet,Moderate,Bike,50,40.684925,-74.07449,1
A00206,2023-11-28,3,Night,Storm,Dry,Severe,Car,100,33.980419,-118.339355,3
A00207,2024-07-09,14,Afternoon,Clear,Wet,Moderate,Car,40,34.033244,-118.253879,0
A00208,2024-06-14,11,Morning,Snow,Dry,Moderate,Bus,100,41.845636,-87.690997,0
A00209,2024-03-28,1,Night,Rain,Dry,Severe,Bike,80,40.724489,-74.083795,3
A00210,2023-05-15,9,Morning,Clear,Wet,Fatal,Bus,30,34.08695,-118.146373,2
A00211,2023-01-30,20,Evening,Rain,Under Construction,Minor,Truck,100,41.828565,-87.598329,1
A00212,2023-06-12,9,Morning,Rain,Wet,Minor,Car,80,41.932666,-87.599343,1
A00213,2024-02-22,2,Night,Clear,Dry,Fatal,Car,60,40.71645,-73.966996,2
A00214,2023-05-01,20,Evening,Clear,Wet,Minor,Bus,100,40.737987,-73.97688,1
A00215,2023-10-26,16,Afternoon,Clear,Dry,Minor,Bike,60,41.78629,-87.6044,1
A00216,2024-05-09,15,Afternoon,Rain,Dry,Severe,Bus,80,40.725365,-74.006078,1
A00217,2023-05-29,12,Afternoon,Storm,Dry,Severe,Truck,30,40.758754,-74.020514,3
A00218,2023-10-10,13,Afternoon,Clear,Dry,Minor,Bike,30,34.000371,-118.178047,3
A00219,2023-10-17,23,Night,Snow,Under Construction,Moderate,Bus,40,34.12171,-118.215809,0
A00220,2024-04-02,17,Evening,Rain,Dry,Minor,Bike,50,34.021724,-118.253049,0
A00221,2024-07-19,17,Evening,Clear,Under Construction,Moderate,Bus,50,34.048675,-118.219375,1
A00222,2023-07-13,22,Night,Clear,Dry,Moderate,Bus,40,40.739806,-74.070125,1
A00223,2024-02-25,1,Night,Clear,Wet,Moderate,Bus,100,34.059633,-118.260554,1
A00224,2024-01-26,12,Afternoon,Clear,Dry,Minor,Truck,60,41.893222,-87.661196,0
A00225,2023-02-07,4,Night,Rain,Under Construction,Severe,Bike,30,41.801385,-87.584178,2
A00226,2024-03-26,3,Night,Clear,Icy,Moderate,Bus,30,41.852745,-87.688352,2
A00227,2023-05-28,13,Afternoon,Fog,Dry,Minor,Truck,30,41.858522,-87.63056,0
A00228,2024-04-25,8,Morning,Fog,Dry,Moderate,Bus,100,34.002495,-118.245247,1
A00229,2023-03-24,10,Morning,Snow,Dry,Moderate,Bus,50,41.855936,-87.67404,2
A00230,2024-10-03,22,Night,Clear,Dry,Moderate,Car,80,34.018746,-118.191705,1
A00231,2023-03-12,7,Morning,Clear,Icy,Minor,Bike,40,41.873683,-87.583733,3
A00232,2023-04-03,13,Afternoon,Rain,Dry,Moderate,Car,60,40.735799,-74.039886,2
A00233,2023-06-20,22,Night,Clear,Wet,Minor,Car,30,33.984844,-118.292281,1
A00234,2023-11-29,1,Night,Rain,Dry,Minor,Bike,50,34.066327,-118.279093,1
A00235,2024-03-17,4,Night,Clear,Dry,Fatal,Bus,80,40.762602,-74.04384,1
A00236,2024-11-29,5,Morning,Clear,Dry,Moderate,Truck,30,40.744884,-73.944769,1
A00237,2024-09-16,12,Afternoon,Storm,Wet,Moderate,Truck,60,41.880951,-87.61637,3
A00238,2024-08-20,4,Night,Clear,Dry,Severe,Bus,100,40.683061,-74.070065,1
A00239,2023-09-18,14,Afternoon,Rain,Under Construction,Minor,Car,60,34.041137,-118.257541,2
A00240,2023-10-22,21,Night,Snow,Icy,Severe,Truck,30,41.869744,-87.615671,2
A00241,2024-03-28,11,Morning,Fog,Wet,Moderate,Bike,100,41.887151,-87.694642,2
A00242,2024-03-10,22,Night,Clear,Dry,Moderate,Bus,50,34.025769,-118.214382,3
A00243,2023-07-23,12,Afternoon,Rain,Dry,Minor,Car,40,34.142769,-118.212523,3
A00244,2024-01-26,18,Evening,Rain,Dry,Minor,Bike,100,34.041749,-118.286226,1
A00245,2023-10-30,0,Night,Rain,Wet,Moderate,Bus,50,41.852368,-87.685311,2
A00246,2023-01-09,18,Evening,Fog,Dry,Moderate,Car,80,41.805607,-87.685115,0
A00247,2024-05-23,9,Morning,Clear,Icy,Fatal,Bike,40,40.671941,-74.110706,3
A00248,2024-10-13,6,Morning,Clear,Wet,Minor,Bike,100,41.801817,-87.566671,1
A00249,2024-11-06,21,Night,Rain,Dry,Moderate,Car,100,40.719122,-74.040397,2
A00250,2024-10-23,1,Night,Rain,Icy,Moderate,Bus,30,34.051848,-118.17808,0
A00251,2024-08-16,11,Morning,Clear,Dry,Moderate,Truck,30,41.925491,-87.595698,1
A00252,2023-10-30,10,Morning,Clear,Dry,Minor,Bus,40,41.873966,-87.635887,4
A00253,2023-07-25,4,Night,Clear,Wet,Moderate,Bike,80,41.866776,-87.677772,2
A00254,2024-05-28,8,Morning,Rain,Dry,Minor,Bike,60,40.719844,-74.094422,0
A00255,2023-10-30,23,Night,Storm,Dry,Moderate,Car,60,34.07788,-118.270335,1
A00256,2023-03-19,4,Night,Clear,Dry,Moderate,Bus,80,40.569236,-74.014045,2
A00257,2024-01-10,2,Night,Rain,Dry,Moderate,Car,50,34.069874,-118.237625,0
A00258,2024-07-03,3,Night,Clear,Dry,Minor,Bike,100,34.069951,-118.254756,0
A00259,2024-11-19,8,Morning,Clear,Wet,Minor,Bus,100,41.851796,-87.630501,0
A00260,2024-01-16,3,Night,Storm,Dry,Severe,Truck,60,41.789958,-87.681132,1
A00261,2023-01-26,19,Evening,Rain,Under Construction,Moderate,Bike,80,41.799973,-87.656253,2
A00262,2023-08-15,20,Evening,Rain,Dry,Moderate,Bus,100,40.736121,-74.007782,1
A00263,2023-11-06,20,Evening,Clear,Dry,Minor,Car,40,34.083848,-118.266179,1
A00264,2023-02-16,1,Night,Clear,Icy,Severe,Bus,30,34.061022,-118.262051,1
A00265,2023-04-10,7,Morning,Rain,Dry,Minor,Truck,60,41.855681,-87.5293,1
A00266,2024-04-09,11,Morning,Rain,Dry,Moderate,Bus,80,41.868955,-87.561056,0
A00267,2023-06-08,13,Afternoon,Fog,Dry,Minor,Car,60,41.853963,-87.677466,2
A00268,2024-09-22,13,Afternoon,Snow,Icy,Fatal,Car,100,34.037609,-118.32186,2
A00269,2024-01-15,6,Morning,Clear,Dry,Severe,Bus,40,34.043176,-118.084045,0
A00270,2024-01-07,3,Night,Rain,Icy,Moderate,Bike,80,41.883764,-87.701714,0
A00271,2024-10-22,11,Morning,Fog,Wet,Moderate,Bus,50,40.690434,-73.941949,2
A00272,2023-07-14,3,Night,Rain,Wet,Minor,Car,100,34.035461,-118.263882,0
A00273,2023-08-06,20,Evening,Snow,Wet,Moderate,Car,30,41.981226,-87.683177,0
A00274,2023-12-08,7,Morning,Snow,Icy,Severe,Truck,30,40.708818,-73.983381,3
A00275,2024-07-21,6,Morning,Snow,Dry,Moderate,Truck,40,41.879736,-87.643146,3
A00276,2023-12-03,4,Night,Fog,Dry,Severe,Car,50,41.886523,-87.56392,1
A00277,2023-05-29,4,Night,Rain,Icy,Moderate,Bike,40,41.873542,-87.741802,1
A00278,2023-04-23,21,Night,Clear,Wet,Severe,Truck,30,40.700853,-74.024341,0
A00279,2024-01-02,7,Morning,Clear,Dry,Moderate,Bike,30,41.938958,-87.553734,1
A00280,2023-06-28,8,Morning,Rain,Under Construction,Moderate,Truck,100,40.731422,-74.045503,1
A00281,2024-03-07,16,Afternoon,Clear,Dry,Severe,Car,60,40.742135,-74.029745,0
A00282,2024-04-04,11,Morning,Rain,Wet,Moderate,Car,60,41.828083,-87.663687,0
A00283,2024-05-30,7,Morning,Clear,Wet,Severe,Car,100,41.895632,-87.605341,2
A00284,2024-11-05,16,Afternoon,Storm,Wet,Severe,Bus,100,34.045568,-118.292426,2
A00285,2023-02-01,1,Night,Clear,Under Construction,Minor,Bus,60,34.025434,-118.248227,2
A00286,2024-12-03,3,Night,Snow,Dry,Fatal,Bus,30,34.089141,-118.212932,0
